clip_id,timestamp,player_panel,raw_status,status,confidence
73,83.99,3,5_eliminated,eliminated,0.258
73,83.99,4,0_healthy,healthy,0.363
73,85.99,0,6_escaped,escaped,0.606
73,85.99,1,0_healthy,healthy,0.215
73,85.99,2,1_injured,injured,0.449
73,85.99,3,5_eliminated,eliminated,0.337
73,85.99,4,0_healthy,healthy,0.381
73,87.99,0,6_escaped,escaped,0.639
73,87.99,1,0_healthy,healthy,0.2
73,87.99,2,1_injured,injured,0.495
73,87.99,3,5_eliminated,eliminated,0.303
73,87.99,4,0_healthy,healthy,0.398
73,89.99,0,6_escaped,escaped,0.368
73,89.99,1,1_injured,injured,0.254
73,89.99,2,1_injured,injured,0.393
73,89.99,3,5_eliminated,eliminated,0.307
73,89.99,4,0_healthy,healthy,0.356
73,91.99,0,6_escaped,escaped,0.539
73,91.99,1,1_injured,injured,0.187
73,91.99,2,1_injured,injured,0.438
73,91.99,3,5_eliminated,eliminated,0.272
73,91.99,4,0_healthy,healthy,0.346
73,93.99,0,6_escaped,escaped,0.618
73,93.99,1,1_injured,injured,0.19
73,93.99,2,1_injured,injured,0.451
73,93.99,3,5_eliminated,eliminated,0.542
73,93.99,4,0_healthy,healthy,0.739
73,95.99,0,6_escaped,escaped,0.614
73,95.99,1,1_injured,injured,0.196
73,95.99,2,1_injured,injured,0.468
73,95.99,3,5_eliminated,eliminated,0.279
73,95.99,4,0_healthy,healthy,0.448
73,97.99,0,6_escaped,escaped,0.559
73,97.99,1,1_injured,injured,0.23
73,97.99,2,1_injured,injured,0.507
73,97.99,3,5_eliminated,eliminated,0.262
73,97.99,4,0_healthy,healthy,0.43
73,99.99,0,6_escaped,escaped,0.589
73,99.99,1,1_injured,injured,0.197
73,99.99,2,1_injured,injured,0.532
73,99.99,3,5_eliminated,eliminated,0.274
73,99.99,4,0_healthy,healthy,0.382
73,101.99,0,6_escaped,escaped,0.626
73,101.99,1,0_healthy,healthy,0.198
73,101.99,2,1_injured,injured,0.48
73,101.99,3,5_eliminated,eliminated,0.285
73,101.99,4,0_healthy,healthy,0.394
73,103.99,0,6_escaped,escaped,0.676
73,103.99,1,1_injured,injured,0.441
73,103.99,2,1_injured,injured,0.372
73,103.99,3,5_eliminated,eliminated,0.395
73,103.99,4,0_healthy,healthy,0.423
73,105.99,0,6_escaped,escaped,0.637
73,105.99,1,1_injured,injured,0.21
73,105.99,2,1_injured,injured,0.485
73,105.99,3,5_eliminated,eliminated,0.265
73,105.99,4,0_healthy,healthy,0.386
73,107.99,0,6_escaped,escaped,0.59
73,107.99,1,1_injured,injured,0.181
73,107.99,2,1_injured,injured,0.489
73,107.99,3,5_eliminated,eliminated,0.297
73,107.99,4,0_healthy,healthy,0.346
73,109.99,0,6_escaped,escaped,0.621
73,109.99,1,1_injured,injured,0.197
73,109.99,2,1_injured,injured,0.485
73,109.99,3,5_eliminated,eliminated,0.285
73,109.99,4,0_healthy,healthy,0.417
73,111.99,0,6_escaped,escaped,0.267
73,111.99,1,1_injured,injured,0.239
73,111.99,2,1_injured,injured,0.311
73,111.99,3,5_eliminated,eliminated,0.331
73,111.99,4,0_healthy,healthy,0.385
73,113.99,0,6_escaped,escaped,0.642
73,113.99,1,1_injured,injured,0.188
73,113.99,2,1_injured,injured,0.295
73,113.99,3,5_eliminated,eliminated,0.249
73,113.99,4,0_healthy,healthy,0.361
73,115.98,0,6_escaped,escaped,0.6
73,115.98,1,1_injured,injured,0.185
73,115.98,2,1_injured,injured,0.334
73,115.98,3,5_eliminated,eliminated,0.655
73,115.98,4,0_healthy,healthy,0.516
73,117.98,0,6_escaped,escaped,0.558
73,117.98,1,1_injured,injured,0.187
73,117.98,2,1_injured,injured,0.392
73,117.98,3,5_eliminated,eliminated,0.302
73,117.98,4,0_healthy,healthy,0.397
73,119.98,0,6_escaped,escaped,0.495
73,119.98,1,2_downed,downed,0.217
73,119.98,2,1_injured,injured,0.416
73,119.98,3,5_eliminated,eliminated,0.266
73,119.98,4,0_healthy,healthy,0.39
73,121.98,0,6_escaped,escaped,0.613
73,121.98,1,1_injured,injured,0.217
73,121.98,2,1_injured,injured,0.352
73,121.98,3,5_eliminated,eliminated,0.271
73,121.98,4,0_healthy,healthy,0.372
73,123.98,0,6_escaped,escaped,0.618
73,123.98,1,2_downed,downed,0.21
73,123.98,2,1_injured,injured,0.275
73,123.98,3,5_eliminated,eliminated,0.306
73,123.98,4,0_healthy,healthy,0.311
73,125.98,0,6_escaped,escaped,0.567
73,125.98,1,1_injured,injured,0.233
73,125.98,2,1_injured,injured,0.291
73,125.98,3,5_eliminated,eliminated,0.354
73,125.98,4,0_healthy,healthy,0.391
73,127.98,0,6_escaped,escaped,0.603
73,127.98,1,1_injured,injured,0.202
73,127.98,2,1_injured,injured,0.282
73,127.98,3,5_eliminated,eliminated,0.272
73,127.98,4,0_healthy,healthy,0.358
73,129.98,0,6_escaped,escaped,0.636
73,129.98,1,1_injured,injured,0.202
73,129.98,2,1_injured,injured,0.289
73,129.98,3,5_eliminated,eliminated,0.251
73,129.98,4,0_healthy,healthy,0.271
73,131.98,0,6_escaped,escaped,0.56
73,131.98,1,1_injured,injured,0.193
73,131.98,2,1_injured,injured,0.269
73,131.98,3,5_eliminated,eliminated,0.27
73,131.98,4,0_healthy,healthy,0.269
73,133.98,0,5_eliminated,eliminated,0.565
73,133.98,1,0_healthy,healthy,0.433
73,133.98,2,5_eliminated,eliminated,0.509
73,133.98,3,5_eliminated,eliminated,0.519
73,133.98,4,0_healthy,healthy,0.659
73,135.98,0,5_eliminated,eliminated,0.741
73,135.98,1,0_healthy,healthy,0.378
73,135.98,2,5_eliminated,eliminated,0.42
73,135.98,3,5_eliminated,eliminated,0.345
73,135.98,4,0_healthy,healthy,0.279
73,137.98,0,5_eliminated,eliminated,0.553
73,137.98,1,0_healthy,healthy,0.351
73,137.98,2,5_eliminated,eliminated,0.624
73,137.98,3,0_healthy,healthy,0.284
73,137.98,4,0_healthy,healthy,0.679
73,139.98,0,5_eliminated,eliminated,0.633
73,139.98,1,0_healthy,healthy,0.381
73,139.98,2,5_eliminated,eliminated,0.54
73,139.98,3,1_injured,injured,0.306
73,139.98,4,0_healthy,healthy,0.284
73,141.98,0,6_escaped,escaped,0.662
73,141.98,1,0_healthy,healthy,0.192
73,141.98,2,1_injured,injured,0.287
73,141.98,3,1_injured,injured,0.442
73,141.98,4,0_healthy,healthy,0.26
73,143.98,0,6_escaped,escaped,0.657
73,143.98,1,0_healthy,healthy,0.202
73,143.98,2,1_injured,injured,0.284
73,143.98,3,1_injured,injured,0.508
73,143.98,4,0_healthy,healthy,0.317
73,145.98,0,6_escaped,escaped,0.607
73,145.98,1,2_downed,downed,0.231
73,145.98,2,1_injured,injured,0.298
73,145.98,3,5_eliminated,eliminated,0.428
73,145.98,4,0_healthy,healthy,0.425
73,147.98,0,6_escaped,escaped,0.357
73,147.98,1,1_injured,injured,0.206
73,147.98,2,1_injured,injured,0.293
73,147.98,3,5_eliminated,eliminated,0.416
73,147.98,4,0_healthy,healthy,0.338
73,149.98,0,6_escaped,escaped,0.619
73,149.98,1,0_healthy,healthy,0.199
73,149.98,2,1_injured,injured,0.297
73,149.98,3,5_eliminated,eliminated,0.413
73,149.98,4,0_healthy,healthy,0.392
73,151.98,0,6_escaped,escaped,0.656
73,151.98,1,2_downed,downed,0.193
73,151.98,2,1_injured,injured,0.292
73,151.98,3,5_eliminated,eliminated,0.399
73,151.98,4,0_healthy,healthy,0.397
73,153.98,0,6_escaped,escaped,0.652
73,153.98,1,0_healthy,healthy,0.191
73,153.98,2,1_injured,injured,0.282
73,153.98,3,5_eliminated,eliminated,0.372
73,153.98,4,0_healthy,healthy,0.375
73,155.98,0,6_escaped,escaped,0.672
73,155.98,1,0_healthy,healthy,0.197
73,155.98,2,1_injured,injured,0.392
73,155.98,3,5_eliminated,eliminated,0.378
73,155.98,4,0_healthy,healthy,0.385
73,157.98,0,6_escaped,escaped,0.582
73,157.98,1,2_downed,downed,0.199
73,157.98,2,1_injured,injured,0.348
73,157.98,3,5_eliminated,eliminated,0.367
73,157.98,4,0_healthy,healthy,0.311
73,159.98,0,6_escaped,escaped,0.594
73,159.98,1,5_eliminated,eliminated,0.231
73,159.98,2,1_injured,injured,0.382
73,159.98,3,5_eliminated,eliminated,0.41
73,159.98,4,0_healthy,healthy,0.397
73,161.98,0,6_escaped,escaped,0.625
73,161.98,1,5_eliminated,eliminated,0.178
73,161.98,2,1_injured,injured,0.382
73,161.98,3,5_eliminated,eliminated,0.383
73,161.98,4,0_healthy,healthy,0.347
73,163.98,0,6_escaped,escaped,0.621
73,163.98,1,5_eliminated,eliminated,0.208
73,163.98,2,1_injured,injured,0.393
73,163.98,3,5_eliminated,eliminated,0.559
73,163.98,4,0_healthy,healthy,0.291
73,165.98,0,6_escaped,escaped,0.632
73,165.98,1,2_downed,downed,0.175
73,165.98,2,1_injured,injured,0.394
73,165.98,3,5_eliminated,eliminated,0.366
73,165.98,4,0_healthy,healthy,0.494
73,167.98,0,6_escaped,escaped,0.679
73,167.98,1,2_downed,downed,0.206
73,167.98,2,1_injured,injured,0.388
73,167.98,3,5_eliminated,eliminated,0.391
73,167.98,4,0_healthy,healthy,0.382
73,169.98,0,6_escaped,escaped,0.662
73,169.98,1,2_downed,downed,0.19
73,169.98,2,1_injured,injured,0.41
73,169.98,3,5_eliminated,eliminated,0.418
73,169.98,4,0_healthy,healthy,0.382
73,171.98,0,6_escaped,escaped,0.514
73,171.98,1,2_downed,downed,0.207
73,171.98,2,5_eliminated,eliminated,0.236
73,171.98,3,5_eliminated,eliminated,0.407
73,171.98,4,0_healthy,healthy,0.368
73,173.98,0,6_escaped,escaped,0.619
73,173.98,1,2_downed,downed,0.209
73,173.98,2,5_eliminated,eliminated,0.276
73,173.98,3,5_eliminated,eliminated,0.378
73,173.98,4,0_healthy,healthy,0.402
73,175.98,0,6_escaped,escaped,0.551
73,175.98,1,2_downed,downed,0.216
73,175.98,2,5_eliminated,eliminated,0.287
73,175.98,3,5_eliminated,eliminated,0.362
73,175.98,4,0_healthy,healthy,0.377
73,177.98,0,6_escaped,escaped,0.585
73,177.98,1,2_downed,downed,0.199
73,177.98,2,5_eliminated,eliminated,0.279
73,177.98,3,5_eliminated,eliminated,0.355
73,177.98,4,0_healthy,healthy,0.361
73,179.98,0,6_escaped,escaped,0.572
73,179.98,1,2_downed,downed,0.193
73,179.98,2,5_eliminated,eliminated,0.283
73,179.98,3,5_eliminated,eliminated,0.36
73,179.98,4,0_healthy,healthy,0.418
73,181.98,0,6_escaped,escaped,0.586
73,181.98,1,2_downed,downed,0.203
73,181.98,2,5_eliminated,eliminated,0.283
73,181.98,3,1_injured,injured,0.453
73,181.98,4,0_healthy,healthy,0.384
73,183.98,0,6_escaped,escaped,0.587
73,183.98,1,2_downed,downed,0.187
73,183.98,2,5_eliminated,eliminated,0.265
73,183.98,3,1_injured,injured,0.379
73,183.98,4,0_healthy,healthy,0.378
73,185.98,0,6_escaped,escaped,0.627
73,185.98,1,5_eliminated,eliminated,0.186
73,185.98,2,5_eliminated,eliminated,0.275
73,185.98,3,1_injured,injured,0.503
73,185.98,4,0_healthy,healthy,0.36
73,187.98,0,6_escaped,escaped,0.536
73,187.98,1,2_downed,downed,0.513
73,187.98,2,5_eliminated,eliminated,0.486
73,187.98,3,1_injured,injured,0.438
